movie_name,href,oscar,critics_choice,sag,bafta,pga,dga,golden_globe_mc,golden_globe_drama,wga_as,wga_os,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Atonement,https://en.wikipedia.org/wiki/Atonement_(film),0,0,0,1,0,0,0,1,0,0,R,7.8,85,123,2007,3.9,7.4,Focus Features,50927067,Period,129266061
Juno,https://en.wikipedia.org/wiki/Juno_(film),0,0,0,0,0,0,0,0,0,1,PG-13,7.5,81,96,2007,4.2,8.1,Fox Searchlight,143495265,Comedy,231411584
Michael Clayton,https://en.wikipedia.org/wiki/Michael_Clayton_(film),0,0,0,0,0,0,0,0,0,0,A,7.3,82,119,2007,3.5,7.6,Warner Bros.,49033882,Thriller,92991835
There Will Be Blood,https://en.wikipedia.org/wiki/There_Will_Be_Blood,0,0,0,0,0,0,0,0,0,0,R,8.1,93,158,2007,4,8.4,Paramount Vantage,40222514,Drama,76181545
Slumdog Millionaire,https://en.wikipedia.org/wiki/Slumdog_Millionaire,1,1,1,1,1,1,0,1,1,0,R,8,86,120,2008,4,8.4,Fox Searchlight,141319928,Drama,377910544
The Curious Case of Benjamin Button,https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.8,70,166,2008,3.8,7.1,Paramount,127509326,Fantasy,333932083
Frost/Nixon,https://en.wikipedia.org/wiki/Frost/Nixon_(film),0,0,0,0,0,0,0,0,0,0,R,7.7,80,122,2008,3.9,7.9,Universal,18622031,Drama,27426335
Milk,https://en.wikipedia.org/wiki/Milk_(film),0,0,0,0,0,0,0,0,0,1,R,7.6,84,128,2008,4,8,Focus Features,31841299,Drama,54586584
The Reader,https://en.wikipedia.org/wiki/The_Reader_(2008_film),0,0,0,0,0,0,0,0,0,0,R,7.6,58,124,2008,3.8,6.4,Weinstein Company,34194407,Period,108901967
The Hurt Locker,https://en.wikipedia.org/wiki/The_Hurt_Locker,1,1,0,1,1,1,0,0,0,1,R,7.6,94,131,2008,3.9,8.5,Summit Entertainment,17017811,War,49230772
Avatar,https://en.wikipedia.org/wiki/Avatar_(2009_film),0,0,0,0,0,0,0,1,0,0,PG-13,7.8,83,162,2009,4.2,7.5,Fox,760507625,Sci-Fi,2787965087
The Blind Side,https://en.wikipedia.org/wiki/The_Blind_Side_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.7,53,129,2009,4.2,6.1,Warner Bros.,255959475,Sports,309208309
District 9,https://en.wikipedia.org/wiki/District_9,0,0,0,0,0,0,0,0,0,0,A,8,81,112,2009,3.5,7.8,TriStar,115646235,Sci-Fi,210819611
An Education,https://en.wikipedia.org/wiki/An_Education,0,0,0,0,0,0,0,0,0,0,PG-13,7.3,85,100,2009,3.9,7.9,Sony Classics,12574914,Period,26096852
Inglourious Basterds,https://en.wikipedia.org/wiki/Inglourious_Basterds,0,0,1,0,0,0,0,0,0,0,A,8.3,69,153,2009,4,7.8,Weinstein Company,120540719,War,321455689
Precious,https://en.wikipedia.org/wiki/Precious_(film),0,0,0,0,0,0,0,0,0,0,R,7.3,79,110,2009,3.6,7.8,Lions Gate,47566524,Drama,63647833
A Serious Man,https://en.wikipedia.org/wiki/A_Serious_Man,0,0,0,0,0,0,0,0,0,0,R,7,79,106,2009,3.5,7.9,Focus Features,9228768,Comedy,31430334
Up,https://en.wikipedia.org/wiki/Up_(2009_film),0,0,0,0,0,0,0,0,0,0,PG,8.3,88,96,2009,3.9,8.7,Buena Vista,293004164,Animation,735099082
Up in the Air,https://en.wikipedia.org/wiki/Up_in_the_Air_(2009_film),0,0,0,0,0,0,0,0,1,0,R,7.4,83,109,2009,3.8,8.1,Paramount,83823381,Comedy,166842739
The King's Speech,https://en.wikipedia.org/wiki/The_King%27s_Speech,1,0,1,1,1,1,0,0,0,0,R,8,88,118,2010,4.3,8.6,Weinstein Company,138797449,Drama,414211549
127 Hours,https://en.wikipedia.org/wiki/127_Hours,0,0,0,0,0,0,0,0,0,0,R,7.6,82,94,2010,4,8.3,Fox Searchlight,18335230,Drama,60738797
Black Swan,https://en.wikipedia.org/wiki/Black_Swan_(film),0,0,0,0,0,0,0,0,0,0,R,8,79,108,2010,4,8.2,Fox Searchlight,106954678,Thriller,329398046
The Fighter,https://en.wikipedia.org/wiki/The_Fighter,0,0,0,0,0,0,0,0,0,0,R,7.8,79,116,2010,4.2,7.8,Paramount,93617009,Sports,129190869
Inception,https://en.wikipedia.org/wiki/Inception,0,0,0,0,0,0,0,0,0,1,UA,8.8,74,148,2010,4.2,8.1,Warner Bros.,292576195,Sci-Fi,828322032
The Kids Are All Right,https://en.wikipedia.org/wiki/The_Kids_Are_All_Right_(film),0,0,0,0,0,0,1,0,0,0,R,7,86,106,2010,3.6,7.8,Focus Features,20811365,Comedy,34705850
The Social Network,https://en.wikipedia.org/wiki/The_Social_Network,0,1,0,0,0,0,0,1,1,0,PG-13,7.7,95,120,2010,4.2,9,Sony / Columbia,96962694,Comedy,224920315
Toy Story 3,https://en.wikipedia.org/wiki/Toy_Story_3,0,0,0,0,0,0,0,0,0,0,U,8.3,92,103,2010,4.3,8.9,Buena Vista,415004880,Animation,1066969703
True Grit,https://en.wikipedia.org/wiki/True_Grit_(2010_film),0,0,0,0,0,0,0,0,0,0,PG-13,7.6,80,110,2010,4,8.3,Paramount,171243005,Western,252276927
Winter's Bone,https://en.wikipedia.org/wiki/Winter%27s_Bone,0,0,0,0,0,0,0,0,0,0,R,7.2,90,100,2010,3.8,8.3,Roadside Attractions,6531503,Drama,13796834
The Artist,https://en.wikipedia.org/wiki/The_Artist_(film),1,1,0,1,1,1,1,0,0,0,U,7.9,89,100,2011,4.2,8.8,A24,21101724,Comedy,28801724
The Descendants,https://en.wikipedia.org/wiki/The_Descendants,0,0,0,0,0,0,0,1,1,0,A,7.3,84,115,2011,3.9,8.1,Fox Searchlight,82584160,Comedy,177243185
Extremely Loud & Incredibly Close,https://en.wikipedia.org/wiki/Extremely_Loud_%26_Incredibly_Close_(film),0,0,0,0,0,0,0,0,0,0,PG-13,6.9,46,129,2011,3.5,5.5,Warner Bros.,31847881,Drama,55247881
The Help,https://en.wikipedia.org/wiki/The_Help_(film),0,0,1,0,0,0,0,0,0,0,UA,8.1,62,146,2011,4.2,7,Buena Vista,169708112,Drama,216639112
Hugo,https://en.wikipedia.org/wiki/Hugo_(film),0,0,0,0,0,0,0,0,0,0,U,7.5,83,126,2011,4,8.3,Paramount,73864507,Fantasy,185770160
Midnight in Paris,https://en.wikipedia.org/wiki/Midnight_in_Paris,0,0,0,0,0,0,0,0,0,1,PG-13,7.7,81,94,2011,4,7.8,Sony Classics,56817045,Romance,151119219
Moneyball,https://en.wikipedia.org/wiki/Moneyball_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.6,87,133,2011,4,8,Sony / Columbia,75605492,Sports,110206216
The Tree of Life,https://en.wikipedia.org/wiki/The_Tree_of_Life_(film),0,0,0,0,0,0,0,0,0,0,PG-13,6.8,85,139,2011,3.4,8.1,Fox Searchlight,13303319,Drama,54303319
War Horse,https://en.wikipedia.org/wiki/War_Horse_(film),0,0,0,0,0,0,0,0,0,0,U,7.2,72,146,2011,3.9,7,Buena Vista,79884879,War,177584879
Argo,https://en.wikipedia.org/wiki/Argo_(2012_film),1,1,1,1,1,1,0,1,1,0,A,7.7,86,120,2012,4.2,8.4,Warner Bros.,136025503,Thriller,232325503
Amour,https://en.wikipedia.org/wiki/Amour_(2012_film),0,0,0,0,0,0,0,0,0,0,UA,7.9,94,127,2012,4,8.7,Sony Classics,6739492,Foreign,19839492
Beasts of the Southern Wild,https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild,0,0,0,0,0,0,0,0,0,0,PG-13,7.3,86,93,2012,3.9,8.2,Fox Searchlight,12795746,Drama,21107746
Django Unchained,https://en.wikipedia.org/wiki/Django_Unchained,0,0,0,0,0,0,0,0,0,0,A,8.4,81,165,2012,4.3,8,Weinstein Company,162805434,Western,425368238
Les Miserables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film),0,0,0,0,0,0,1,0,0,0,A,7.6,63,158,2012,4,6.9,Universal,148809770,Musical,441809770
Life of Pi,https://en.wikipedia.org/wiki/Life_of_Pi_(film),0,0,0,0,0,0,0,0,0,0,U,7.9,79,127,2012,4.2,7.9,Fox,124987023,Fantasy,609016565
Lincoln,https://en.wikipedia.org/wiki/Lincoln_(film),0,0,0,0,0,0,0,0,0,0,U,7.4,86,150,2012,4,8,Buena Vista,182207973,Drama,275293450
Silver Linings Playbook,https://en.wikipedia.org/wiki/Silver_Linings_Playbook,0,0,0,0,0,0,0,0,0,0,R,7.8,81,122,2012,4.2,8.2,Weinstein Company,132092958,Comedy,236412453
Zero Dark Thirty,https://en.wikipedia.org/wiki/Zero_Dark_Thirty,0,0,0,0,0,0,0,0,0,1,A,7.4,95,157,2012,4,8.6,Sony / Columbia,95720716,Thriller,132820716
12 Years a Slave,https://en.wikipedia.org/wiki/12_Years_a_Slave_(film),1,1,0,1,1,0,0,1,0,0,A,8.1,96,134,2013,4.3,8.9,Fox Searchlight,56671993,Drama,187733202
American Hustle,https://en.wikipedia.org/wiki/American_Hustle,0,0,1,0,0,0,1,0,0,0,A,7.3,90,138,2013,3.9,8.2,Sony / Columbia,150117807,Drama,251171807
Captain Phillips,https://en.wikipedia.org/wiki/Captain_Phillips_(film),0,0,0,0,0,0,0,0,1,0,UA,7.8,83,134,2013,4.2,8.3,Sony / Columbia,107100855,Drama,218791811
Dallas Buyers Club,https://en.wikipedia.org/wiki/Dallas_Buyers_Club,0,0,0,0,0,0,0,0,0,0,R,8,84,117,2013,4.2,7.8,Focus Features,27298285,Drama,55198285
Gravity,https://en.wikipedia.org/wiki/Gravity_(2013_film),0,0,0,0,1,1,0,0,0,0,UA,7.8,96,91,2013,4,9,Warner Bros.,274092705,Sci-Fi,723192705
Her,https://en.wikipedia.org/wiki/Her_(film),0,0,0,0,0,0,0,0,0,1,A,8,90,126,2013,4,8.5,Warner Bros.,25568251,Comedy,47351251
Nebraska,https://en.wikipedia.org/wiki/Nebraska_(film),0,0,0,0,0,0,0,0,0,0,UA,7.7,86,115,2013,4,8.1,Paramount,17654912,Comedy,27682872
Philomena,https://en.wikipedia.org/wiki/Philomena_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.6,77,98,2013,4.2,7.8,Weinstein Company,37709979,Drama,100129872
The Wolf of Wall Street,https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film),0,0,0,0,0,0,0,0,0,0,A,8.2,75,180,2013,4,7.8,Paramount,116900694,Drama,392000694
Birdman,https://en.wikipedia.org/wiki/Birdman_(film),1,0,0,0,1,1,0,0,0,0,A,7.8,88,119,2014,4,8.5,Fox Searchlight,42340598,Comedy,103215094
American Sniper,https://en.wikipedia.org/wiki/American_Sniper,0,0,0,0,0,0,0,0,0,0,R,7.3,72,133,2014,4.2,6.9,Warner Bros.,350126372,Drama,547426372
Boyhood,https://en.wikipedia.org/wiki/Boyhood_(film),0,1,0,1,0,0,0,1,0,0,A,7.9,100,165,2014,4,9.2,IFC,25352281,Drama,44495281
The Grand Budapest Hotel,https://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel,0,0,0,0,0,0,1,0,0,1,R,8.1,88,99,2014,4.2,8.4,Fox Searchlight,59301324,Comedy,174801324
The Imitation Game,https://en.wikipedia.org/wiki/The_Imitation_Game,0,0,0,0,0,0,0,0,1,0,PG-13,8,73,114,2014,4.2,7.7,Weinstein Company,91125683,Drama,233555708
Selma,https://en.wikipedia.org/wiki/Selma_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.5,89,128,2014,4.2,8.7,Paramount,52076908,Drama,66787908
The Theory of Everything,https://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film),0,0,0,0,0,0,0,0,0,0,PG-13,7.7,72,123,2014,4,7.3,Focus Features,35893537,Drama,123726688
Whiplash,https://en.wikipedia.org/wiki/Whiplash_(2014_film),0,0,0,0,0,0,0,0,0,0,A,8.5,88,107,2014,4.5,8.6,Sony Classics,13092000,Drama,48982041
Spotlight,https://en.wikipedia.org/wiki/Spotlight_(film),1,1,1,0,0,0,0,0,0,1,R,8.1,93,128,2015,4.3,8.8,Open Road Films,45055776,Drama,88346473
The Big Short,https://en.wikipedia.org/wiki/The_Big_Short_(film),0,0,0,0,1,0,0,0,1,0,R,7.8,81,130,2015,4.2,7.8,Paramount,70259870,Drama,133440870
Bridge of Spies,https://en.wikipedia.org/wiki/Bridge_of_Spies_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.6,81,142,2015,4,7.7,Buena Vista,72313754,Thriller,165478348
Brooklyn,https://en.wikipedia.org/wiki/Brooklyn_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.5,87,117,2015,4.2,8.4,Fox Searchlight,38322743,Drama,62076141
Mad Max: Fury Road,https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road,0,0,0,0,0,0,0,0,0,0,UA,8.1,90,120,2015,4.2,8.6,Warner Bros.,154058340,Sci-Fi,378858340
The Martian,https://en.wikipedia.org/wiki/The_Martian_(film),0,0,0,0,0,0,1,0,0,0,UA,8,80,144,2015,4.3,7.8,Fox,228433663,Sci-Fi,630161890
The Revenant,https://en.wikipedia.org/wiki/The_Revenant_(2015_film),0,0,0,1,0,1,0,1,0,0,A,8,76,156,2015,4.2,7.9,Fox,183637894,Action,532950503
Room,https://en.wikipedia.org/wiki/Room_(2015_film),0,0,0,0,0,0,0,0,0,0,R,8.2,86,118,2015,4.3,8.4,A24,14677654,Drama,35401758
Moonlight,https://en.wikipedia.org/wiki/Moonlight_(2016_film),1,0,0,0,0,0,0,1,0,1,R,7.5,99,111,2016,4,9,A24,27854932,Drama,65046687
Arrival,https://en.wikipedia.org/wiki/Arrival_(film),0,0,0,0,0,0,0,0,1,0,UA,7.9,81,116,2016,4,8.4,Paramount,100546139,Sci-Fi,203388186
Fences,https://en.wikipedia.org/wiki/Fences_(film),0,0,0,0,0,0,0,0,0,0,UA,7.2,79,139,2016,3.9,7.7,Paramount,57682904,Drama,64414761
Hacksaw Ridge,https://en.wikipedia.org/wiki/Hacksaw_Ridge,0,0,0,0,0,0,0,0,0,0,R,8.2,71,139,2016,4.3,7.2,Lions Gate,67209615,Action,175302354
Hell or High Water,https://en.wikipedia.org/wiki/Hell_or_High_Water_(film),0,0,0,0,0,0,0,0,0,0,R,7.6,88,102,2016,4.2,8.5,Lions Gate,27007844,Action,37879877
Hidden Figures,https://en.wikipedia.org/wiki/Hidden_Figures,0,0,1,0,0,0,0,0,0,0,PG,7.8,74,127,2016,4.5,7.6,Fox,169607287,Drama,235950607
La La Land,https://en.wikipedia.org/wiki/La_La_Land_(film),0,1,0,1,1,1,1,0,0,0,A,8.1,93,128,2016,4.2,8.7,Summit Entertainment,151101803,Musical,446090184
Lion,https://en.wikipedia.org/wiki/Lion_(2016_film),0,0,0,0,0,0,0,0,0,0,PG-13,8.1,69,118,2016,4.3,7.3,Weinstein Company,51738905,Drama,140312928
Manchester by the Sea,https://en.wikipedia.org/wiki/Manchester_by_the_Sea_(film),0,0,0,0,0,0,0,0,0,0,R,7.9,96,137,2016,4,8.8,Roadside Attractions,47695371,Drama,77540122
Call Me by Your Name,https://en.wikipedia.org/wiki/Call_Me_by_Your_Name_(film),0,0,0,0,0,0,0,0,1,0,R,8.2,93,132,2017,4.3,8.7,Sony Classics,15240910,Drama,27680888
Darkest Hour,https://en.wikipedia.org/wiki/Darkest_Hour_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.4,75,125,2017,4,7.4,Focus Features,53719842,Drama,134919842
Dunkirk,https://en.wikipedia.org/wiki/Dunkirk_(2017_film),0,0,0,0,0,0,0,0,0,0,PG-13,8,94,106,2017,4,8.6,Warner Bros.,188373161,War,525573161
Get Out,https://en.wikipedia.org/wiki/Get_Out,0,0,0,0,0,0,0,0,0,1,R,7.7,84,104,2017,4.2,8.3,Universal,176040665,Horror,255017329
Lady Bird,https://en.wikipedia.org/wiki/Lady_Bird_(film),0,0,0,0,0,0,1,0,0,0,R,7.7,94,94,2017,4,8.7,A24,46632130,Comedy,52232130
Phantom Thread,https://en.wikipedia.org/wiki/Phantom_Thread,0,0,0,0,0,0,0,0,0,0,R,7.9,90,130,2017,3.8,8.5,Focus Features,18152094,Drama,32252094
The Post,https://en.wikipedia.org/wiki/The_Post_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.3,83,116,2017,3.8,7.9,Fox,77963001,Drama,135963001
The Shape of Water,https://en.wikipedia.org/wiki/The_Shape_of_Water_(film),0,1,0,0,1,1,0,0,0,0,R,7.8,87,123,2017,3.9,8.4,Fox Searchlight,54480844,Fantasy,95762358
"Three Billboards Outside Ebbing, Missouri","https://en.wikipedia.org/wiki/Three_Billboards_Outside_Ebbing,_Missouri",0,0,1,1,0,0,0,1,0,0,R,8.3,88,115,2017,4.2,8.5,Fox Searchlight,49189579,Crime,114644508
